Name,Value,Color(s),Score,Effect,Rarity,SO,Process
The Nail,Any,Red,,"Every time played, increase value by 2 (Carries to next games, loops)",Common,NailCardSO,Coded
NFT card,Any,Orange,,"When played, gives your money x2 as points. Half your money",Common,NFTCardSO,Coded
Painter's Card,Any,Wild,,"When another card is played, copy its color(s)",Common,PainterCardSO,Coded
Patchwork,Any,Any,,"When you play another card, becomes a copy of that card for this round",Rare,PatchworkSO,Coded
X of Pentacles,Any,Orange,,"Gives 1 money when played, Score is equal to half money",Common,PentacleSO,Coded
Perfume Card,Any,Blue,,"Starts each round smoked. When cleaned, multiply it's value by 2 this round.",Common,PerfumeSO,Coded
Piledriver,Any,Red,,This card gives 10 points * the amount of cards in the pile,Uncommon,PileDriverSO,Coded
Pool's Closed,Any,Blue,,"When you play this card, it gives 40 points for each smoked card in your hand",Rare,PoolClosedSO,Coded
Post-it Note,Any,Red,,"Whenever another card is played, if this card is in your hand, it gains that card's value as points for this round",Common,PostItNoteSO,Coded
Prism Card,Any,Wild,,Always counts as all colors,Common,PrismCardSO,Coded
Queue Card,Any,Any,,"When played, puts the bottom card of the pile on top",Uncommon,QueueCardSO,Coded
Rain Forecast,Any,Blue,,"When this card is in your hand, gain 2 money each time you clean a card",Uncommon,RainForecastSO,Coded
Randomizer Card,Any,Any,,"When played, turns a random card in the opponent's hand into a normal card with a random value/color",Uncommon,RandomizerSO,Coded
Reckless Spending,Any,Orange,,"Whenever you spend money, this card gains 10 points",Rare,RecklessSpendingSO,Coded
Special Gavel,Any,Green,x2,"When played, recycle all cards in your hand",Uncommon,RecycleCardSO,Coded
Refreshments,Any,Green,,"When you recycle this card, refresh one of your used side cards",Common,RecyclingSO,Coded
Sauna,Any,Blue,,"Whenever a card is smoked, this card's value is multiplied by 1.1 if it's in the hand",Uncommon,SaunaSO,Coded
Seeing Double,Any,Red,,The next card you play is triggered again,Rare,SharedAccountSO,Coded
Short Squeeze,Any,Orange,,Card score equal to money your opponent has * 10,Common,ShortSqueezeSO,Coded
Shrapnal Bomb,Any,Blue,,"When played, smoke your opponent's entire hand, then recycle it",Rare,ShrapnalBombSO,Coded
Skipper Card,Any,Green,,"When a card is played, if it didn't share a color with this card, it jumps to the top of the pile",Uncommon,SkipperSO,Coded
Slow and Steady,Any,Red,,"Whenever you score, add 5 points to this card",Uncommon,SlowSteadySO,Coded
Steamer card,Any,Blue,,"When played, choose and clean up to 2 smoked cards in your hand for the round",Common,SteamerSO,Coded
Stock Certificate,Any,Orange,,"When played, draw 1 card and gain money equal to 2x its value",Uncommon,StockCertificateSO,Coded
Surf's Up!,Any,Blue,,"Whenever you clean a card in your hand, this card permanently gains 15 points",Uncommon,SurfUpSO,Coded
Sweet Memories,Any,Green,,"When you play this card, refresh all side cards you used already",Rare,SweetMemoriesSO,Coded
Switcharoo card,Any,Wild,,"When drawn, shuffles itself into the opponent's deck and you draw the top card of their deck instead.",Uncommon,SwitcharooSO,Coded
X of Swords,Any,Red,,Gain x1.25 point value,Common,SwordsSO,Coded
Throwback,Any,Green,,"When played, pick a card out of 4 random cards in the pile and add a copy of it to your hand",Common,ThrowbackSO,Coded
Trade Offer Card,Any,Orange,,"When played, you may give your opponent a card from your hand, and recieve 1 random card",Uncommon,TradeOfferCard,Coded
X of Wands,Any,Green,,"When played, recycle 1 card",Common,WandsSO,Coded
Water Balloon,Any,Blue,,"When played, smoke a random card in your opponent's deck for each blue card in the pile",Uncommon,WaterBaloonSO,Coded
Wire Tap,Any,Red,,"Whenever you activate a side card effect, gain 30 points",Rare,WireTapSO,Coded
Choose-Your-Own-Adventure book,Wild,Wild,,"When played, choose a color.

Blue - Smoke 2 random cards in your opponent's hand
Red - Gain x2 points
Green - Play another card on top of this card
Orange - Gain value x2 money",Uncommon,AdventureSO,Coded
Calling Card,Wild,Red,,"When played, if this card is smoked, gain 200 points",Common,CallingCardSO,Coded
Car Wash,Wild,Blue,,"When played, clean all smoked cards in your deck",Common,CarWashSO,Coded
Color Change card,Wild,Wild,,"When played, changes the pile to any color you want",Common,ChangeColorCardSO,SO Created
Copycat Card,Wild,Any,,"When another card is played, copy its number",Common,CopycatCardSO,SO Created
Draw 2 card,Wild,Any,,"Makes the opponent draw 2 cards, unless reacted to",Common,Draw2CardSO,SO Created
Glitched Card,Wild,Wild,,"Every time another card is played, randomize card/color",Common,GlitchedCardSO,Coded
Hostile Takeover,Wild,Orange,,"When this card is played, double your money. It's value is equal to your money * 10",Legendary,HostileTakeoverSO,Coded
Joker Card,Wild,Wild,100,Doesn't count as the top card,Common,JokerSO,Coded
Kill the Tower,Wild,Wild,20,"When played, multiply point value by 1.1 per card in the pile",Uncommon,KillTowerSO,Coded
"Live fast, Die young",Wild,Red,50,"Whenever you play this card, double it's point value.",Legendary,LiveFastSO,Coded
Looting Card,Wild,Wild,,"When played, both players recycle 1 card",Common,LootingCardSO,Coded
Magic Trick,Wild,Wild,,"When played, choose a card in your opponent's deck. Give them a random card from your hand and take their card to yours",Rare,MagicTrickSO,Coded
"Mau, the Prohibited One",Wild,Wild,,"At end of round, gain an effect based on card position:
In Hand - Next Round, start with 1 less card
In Deck - gain 20 money
In Pile - Gain 200 points 
Smoked - Your opponent next game starts with a smoked hand

At the start of turn, if this is the last card in your hand, you win the game",Mythical,MauSO,Coded
No u card,Wild,Blue,,"If this card gets smoked because of an opponent's effect, instead they smoke their entire hand",Rare,NoUSO,Coded
Plus Card,Wild,Green,,"When played, allows you to play another viable card on top of it. It doesn't trigger effects or scores",Common,PlusSO,Coded
Roulette machine,Wild,Any,,"When played, choose a number. If your opponent plays a card of that value right after, double your points",Rare,RouletteSO,Coded
Rush Job,Wild,Green,,"When played, play 3 more cards from your hand. They're all wild.",Legendary,RushJobSO,Coded
"Where there's smoke, there's fire",Wild,Blue,10,"Whenever you draw a smoked card, multiply this card's value by 1.25 * amount of cards",Legendary,SmokeFireSO,Coded
Cigar,Wild,Wild,10,"When played, smokes a random card in the opponent's card",Common,SmokerSO,Coded
Surprise card!,Wild,Wild,,Value and color chosen at random on play!,Uncommon,SurpriseCardSO,Coded
X card,Wild,Any,,"When played, choose value for the card",Common,XCardSO,Coded
